"timestamp","source","message","IPAddress","SonicwallMsg","dst","dst_port"
"2025-02-23T12:45:09.336Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:45:09"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49368 appName='Service RPC Services' n=851891 src=192.168.174.9:63381:X5-V174 dst=192.168.172.13:1514:X8-V172 srcMac=00:50:56:b7:78:a2 dstMac=1a:c2:41:02:85:f7 proto=tcp/1514 uuid=""0b0e8246-ced9-fc9b-0700-18c2410285f2"" rule=""Default Access Rule_686"" note=""TCP Flag(s): SYN"" fw_action=""drop""","192.168.174.9","TCP packet dropped","192.168.172.13","1514"
"2025-02-23T12:46:32.096Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:46:10"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49368 appName='Service RPC Services' n=851997 src=192.168.174.11:58759:X5-V174 dst=192.168.172.13:1514:X8-V172 srcMac=00:50:56:b7:6c:d9 dstMac=1a:c2:41:02:85:f7 proto=tcp/1514 uuid=""0b0e8246-ced9-fc9b-0700-18c2410285f2"" rule=""Default Access Rule_686"" note=""TCP Flag(s): SYN"" fw_action=""drop""","192.168.174.11","TCP packet dropped","192.168.172.13","1514"
"2025-02-23T12:47:21.796Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:47:11"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49368 appName='Service RPC Services' n=852125 src=192.168.174.246:64590:X5-V174 dst=192.168.172.13:1514:X8-V172 srcMac=00:50:56:b7:41:4f dstMac=1a:c2:41:02:85:f7 proto=tcp/1514 uuid=""0b0e8246-ced9-fc9b-0700-18c2410285f2"" rule=""Default Access Rule_686"" note=""TCP Flag(s): SYN"" fw_action=""drop""","192.168.174.246","TCP packet dropped","192.168.172.13","1514"
"2025-02-23T12:48:24.459Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:48:13"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49368 appName='Service RPC Services' n=852234 src=192.168.174.11:58796:X5-V174 dst=192.168.172.13:1514:X8-V172 srcMac=00:50:56:b7:6c:d9 dstMac=1a:c2:41:02:85:f7 proto=tcp/1514 uuid=""0b0e8246-ced9-fc9b-0700-18c2410285f2"" rule=""Default Access Rule_686"" note=""TCP Flag(s): SYN"" fw_action=""drop""","192.168.174.11","TCP packet dropped","192.168.172.13","1514"
"2025-02-23T12:49:13.096Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:49:13"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49177 appName='General HTTPS' n=852362 src=10.13.6.122:55637:X0 dst=4.231.128.59:443:X21 srcMac=68:1d:ef:3b:f0:d2 dstMac=1a:c2:41:02:85:f2 proto=tcp/https uuid=""00000000-0000-0033-0700-18c2410285f2"" rule=""Sense accés a Internet_223"" note=""TCP Flag(s): SYN"" fw_action=""drop""","10.13.6.122","TCP packet dropped","4.231.128.59","443"
"2025-02-23T12:50:13.451Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:50:13"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49368 appName='Service RPC Services' n=852462 src=192.168.174.246:64628:X5-V174 dst=192.168.172.13:1514:X8-V172 srcMac=00:50:56:b7:41:4f dstMac=1a:c2:41:02:85:f7 proto=tcp/1514 uuid=""0b0e8246-ced9-fc9b-0700-18c2410285f2"" rule=""Default Access Rule_686"" note=""TCP Flag(s): SYN"" fw_action=""drop""","192.168.174.246","TCP packet dropped","192.168.172.13","1514"
"2025-02-23T12:51:15.650Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:51:13"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49177 appName='General HTTPS' n=852648 src=10.13.6.115:62397:X0 dst=20.12.23.50:443:X21 srcMac=c0:3f:d5:62:fd:ea dstMac=1a:c2:41:02:85:f2 proto=tcp/https uuid=""00000000-0000-0033-0700-18c2410285f2"" rule=""Sense accés a Internet_223"" note=""TCP Flag(s): SYN"" fw_action=""drop""","10.13.6.115","TCP packet dropped","20.12.23.50","443"
"2025-02-23T12:52:13.186Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:52:13"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49368 appName='Service RPC Services' n=852784 src=192.168.174.7:49819:X5-V174 dst=192.168.172.13:1514:X8-V172 srcMac=00:50:56:b7:d2:14 dstMac=1a:c2:41:02:85:f7 proto=tcp/1514 uuid=""00000000-0000-008c-0700-18c2410285f2"" rule=""My Rule_121"" note=""TCP Flag(s): SYN"" fw_action=""drop""","192.168.174.7","TCP packet dropped","192.168.172.13","1514"
"2025-02-23T12:53:13.226Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:53:13"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49368 appName='Service RPC Services' n=852872 src=192.168.174.9:63508:X5-V174 dst=192.168.172.13:1514:X8-V172 srcMac=00:50:56:b7:78:a2 dstMac=1a:c2:41:02:85:f7 proto=tcp/1514 uuid=""0b0e8246-ced9-fc9b-0700-18c2410285f2"" rule=""Default Access Rule_686"" note=""TCP Flag(s): SYN"" fw_action=""drop""","192.168.174.9","TCP packet dropped","192.168.172.13","1514"
"2025-02-23T12:54:13.614Z","192.168.172.252","id=Sonicwall_STV_NSA4700 sn=18C2410285F2 time=""2025-02-23 13:54:13"" fw=192.168.61.2 pri=5 c=64 m=36 msg=""TCP packet dropped"" app=49368 appName='Service RPC Services' n=852996 src=192.168.174.11:58871:X5-V174 dst=192.168.172.13:1514:X8-V172 srcMac=00:50:56:b7:6c:d9 dstMac=1a:c2:41:02:85:f7 proto=tcp/1514 uuid=""0b0e8246-ced9-fc9b-0700-18c2410285f2"" rule=""Default Access Rule_686"" note=""TCP Flag(s): SYN"" fw_action=""drop""","192.168.174.11","TCP packet dropped","192.168.172.13","1514"
